customer_id,first_name,last_name,email,city,segment,signup_date,loyalty_tier,state
93810,Mark,Williams,markwil@gmail.com,Memphis,Corporate,2020-05-02,Gold,TN
24592,Amelia,Wright,wright32@gmail.com,Dallas,Consumer,2022-04-20,Silver,TX
13278,Harper,Nelson,harper.nelson@hotmail.com,Jacksonville,Consumer,2020-10-25,Bronze,FL
46048,Mia,Anderson,manderson@outlook.com,Philadelphia,Consumer,2019-02-02,Bronze,PA
42098,Charlotte,Allen,,Nashville,Consumer,2019-12-23,Bronze,TN
39256,Mark,Anderson,markand@outlook.com,Nashville,Corporate,2020-06-27,Bronze,TN
28289,Isabella,Wright,iwright@yahoo.com,Memphis,Home Office,2019-04-18,Bronze,TN
23434,Michael,Green,michaelgre@icloud.com,Houston,Consumer,2019-09-17,Bronze,TX
98696,Robert,Brown,robertbro@gmail.com,Philadelphia,CORPORATE,2021-05-12,Silver,PA
81482,Emma,Torres,emmator@yahoo.com,San Jose,Consumer,2021-12-13,Bronze,CA
21395,Robert,Adams,robert.adams@hotmail.com,Houston,Small Business,2019-08-21,Bronze,TX
87397,Maria,Taylor,mtaylor@outlook.com,Washington,Home Office,2019-05-11,Bronze,DC
65302,Matthew,Thompson,matthewtho@hotmail.com,New York,Corporate,2021-09-02,Gold,NY
14165,Amelia,Taylor,amelia.taylor@icloud.com,San Jose,Consumer,2021-07-07,Bronze,CA
13905,Mia,Wright,mwright@gmail.com,Washington,Consumer,2021-01-11,Gold,DC
22280,Maria,White,white77@hotmail.com,Las Vegas,Consumer,11/17/2021,Gold,NV
38657,Amelia,Anderson,,Fort Worth,SMALL BUSINESS,2022-04-30,Silver,TX
40495,John,Jackson,johnjac@gmail.com,Fort Worth,Consumer,2019-08-12,Silver,TX
76237,Maria,Scott,maria.scott@outlook.com,Memphis,Consumer,2021-07-14,Bronze,TN
88907,Maria,Taylor,taylor97@hotmail.com,San Antonio,Small Business,2021-10-28,Silver,TX
13478,Matthew,Moore,mmoore@icloud.com,Chicago,Corporate,2020-03-29,Silver,IL
83563,Isabella,Jones,isabellajon@yahoo.com,Washington,CORPORATE,2022-06-13,Gold,DC
36062,Daniel,Miller,miller74@yahoo.com,Memphis,Consumer,2019-03-30,Bronze,TN
95181,Abigail,White,abigail.white@gmail.com,Portland,CONSUMER,2022-09-11,Gold,OR
81426,Evelyn,Wright,evelynwri@icloud.com,San Diego,Consumer,2021-12-03,Silver,CA
64987,Daniel,Jackson,danieljac@outlook.com,Houston,Corporate,2020-09-09,Bronze,TX
38893,Lisa,Wright,lwright@yahoo.com,Memphis,Corporate,2021-07-27,Bronze,TN
68878,Maria,Torres,mtorres@yahoo.com,San Jose,Corporate,2022-08-10,Bronze,CA
87236,Daniel,Adams,,Las Vegas,Consumer,2019-03-05,Bronze,NV
46463,David,Garcia,dgarcia@gmail.com,Nashville,Corporate,2019-05-05,Bronze,TN
10851,Evelyn,Allen,eallen@yahoo.com,Houston,Small Business,2021-09-07,Gold,TX
30926,Lisa,Young,lyoung@yahoo.com,Washington,Consumer,2021-04-02,Bronze,DC
65392,David,Taylor,david.taylor@icloud.com,Los Angeles,Corporate,2021-05-23,Silver,CA
54597,Ava,Jackson,avajac@icloud.com,Jacksonville,Consumer,2022-11-06,Silver,FL
