customer_id,first_name,last_name,email,city,state,segment,loyalty_tier,signup_date
93810,Mark,Williams,markwil@gmail.com,Memphis,TN,Corporate,Gold,2020-05-02
24592,Amelia,Wright,wright32@gmail.com,Dallas,TX,Consumer,Silver,2022-04-20
13278,Harper,Nelson,harper.nelson@hotmail.com,Jacksonville,FL,Consumer,Bronze,2020-10-25
46048,Mia,Anderson,manderson@outlook.com,Philadelphia,PA,Consumer,Bronze,2019-02-02
42098,Charlotte,Allen,,Nashville,TN,Consumer,Bronze,2019-12-23
39256,Mark,Anderson,markand@outlook.com,Nashville,TN,Corporate,Bronze,2020-06-27
28289,Isabella,Wright,iwright@yahoo.com,Memphis,TN,Home Office,Bronze,2019-04-18
23434,Michael,Green,michaelgre@icloud.com,Houston,TX,Consumer,Bronze,2019-09-17
98696,Robert,Brown,robertbro@gmail.com,Philadelphia,PA,Corporate,Silver,2021-05-12
81482,Emma,Torres,emmator@yahoo.com,San Jose,CA,Consumer,Bronze,2021-12-13
21395,Robert,Adams,robert.adams@hotmail.com,Houston,TX,Small Business,Bronze,2019-08-21
87397,Maria,Taylor,mtaylor@outlook.com,Washington,DC,Home Office,Bronze,2019-05-11
65302,Matthew,Thompson,matthewtho@hotmail.com,New York,NY,Corporate,Gold,2021-09-02
14165,Amelia,Taylor,amelia.taylor@icloud.com,San Jose,CA,Consumer,Bronze,2021-07-07
13905,Mia,Wright,mwright@gmail.com,Washington,DC,Consumer,Gold,2021-01-11
22280,Maria,White,white77@hotmail.com,Las Vegas,NV,Consumer,Gold,2021-11-17
38657,Amelia,Anderson,,Fort Worth,TX,Small Business,Silver,2022-04-30
40495,John,Jackson,johnjac@gmail.com,Fort Worth,TX,Consumer,Silver,2019-08-12
76237,Maria,Scott,maria.scott@outlook.com,Memphis,TN,Consumer,Bronze,2021-07-14
88907,Maria,Taylor,taylor97@hotmail.com,San Antonio,TX,Small Business,Silver,2021-10-28
13478,Matthew,Moore,mmoore@icloud.com,Chicago,IL,Corporate,Silver,2020-03-29
83563,Isabella,Jones,isabellajon@yahoo.com,Washington,DC,Corporate,Gold,2022-06-13
36062,Daniel,Miller,miller74@yahoo.com,Memphis,TN,Consumer,Bronze,2019-03-30
95181,Abigail,White,abigail.white@gmail.com,Portland,OR,Consumer,Gold,2022-09-11
81426,Evelyn,Wright,evelynwri@icloud.com,San Diego,CA,Consumer,Silver,2021-12-03
64987,Daniel,Jackson,danieljac@outlook.com,Houston,TX,Corporate,Bronze,2020-09-09
38893,Lisa,Wright,lwright@yahoo.com,Memphis,TN,Corporate,Bronze,2021-07-27
68878,Maria,Torres,mtorres@yahoo.com,San Jose,CA,Corporate,Bronze,2022-08-10
87236,Daniel,Adams,,Las Vegas,NV,Consumer,Bronze,2019-03-05
46463,David,Garcia,dgarcia@gmail.com,Nashville,TN,Corporate,Bronze,2019-05-05
10851,Evelyn,Allen,eallen@yahoo.com,Houston,TX,Small Business,Gold,2021-09-07
30926,Lisa,Young,lyoung@yahoo.com,Washington,DC,Consumer,Bronze,2021-04-02
65392,David,Taylor,david.taylor@icloud.com,Los Angeles,CA,Corporate,Silver,2021-05-23
54597,Ava,Jackson,avajac@icloud.com,Jacksonville,FL,Consumer,Silver,2022-11-06
46421,David,Moore,davidmoo@icloud.com,Denver,CO,Small Business,Bronze,2019-08-10
30379,Charlotte,Flores,cflores@yahoo.com,Columbus,OH,Corporate,Bronze,2021-10-01
38221,Evelyn,Smith,evelyn.smith@icloud.com,Las Vegas,NV,Consumer,Bronze,2022-12-29
54118,Anna,Taylor,anna.taylor@gmail.com,Jacksonville,FL,Consumer,Bronze,2021-06-27
23396,Charles,Taylor,ctaylor@gmail.com,Unknown,IL,Corporate,Silver,2019-05-31
22156,Sarah,Miller,miller89@yahoo.com,Seattle,WA,Corporate,Bronze,2019-06-15
59797,Andrew,White,white90@gmail.com,Portland,OR,Consumer,Bronze,2020-10-21
22676,Matthew,Hill,,Austin,TX,Small Business,Bronze,2022-05-30
57052,Anna,Young,,New York,NY,Home Office,Bronze,2019-10-31
